OPID_BENCH,ind_name
34894_4996,"Enhance the quality, seniority and depth of the locally based professional staff."
34894_4997,Adherence to the principles of maximum openness in relations with investors;
34894_4998,Comprehensive and quality analysis of funds' and investees' performance;
34894_4999,EVCA-approved reporting standards and valuation guidelines
34894_5000,Transfer of know-how and best practice to the portfolio companies
34894_5001,Successful raising of subsequent SEEF funds; 
34894_5002,Expected number of exits to international strategic buyers and IPOs (at least 2/3 of investments made to be successfully exited to strategic partners or via capital markets).
34894_5003,Financial performance of the investee companies
34894_5004,Improvement of financial reporting to international financial standards
34894_5005,Percentage of companies in which the Fund manager will assume board position (targeted in at least 90% of investees); 
34894_5006,"Enhancing of the team's track record in achieving satisfactory returns, in absolute terms or relatively to industry average. The Fund is expected to achieve 25% gross and 15% net IRR. "
35120_2566,Market share of Europolis in markets and in Region
35120_2567,Other cross regional funds to be set up in the region and following Europolis 2 concept
35120_2568,New co-Investors attracted to participate in the funding of Sub-projects implemented under E2
35120_2569,"Participation of institutional investors in the sale of entire E2, regional sub-portfolios or individual assets"
35120_2570,Comparison of actual versus targeted allication of capital between the three market Tiers
35120_2571,"Size, quality and scope of sub-projects implemented under E2"
35120_2572,Introduction of forward purchase structure in Tier 3 markets
35120_2573,"Provision of new commercial space in Tier 2 and Tier 3 markets, setting of western standard property management benchmarks"
35120_2574,Knowledge transfer/training to local staff and sub-contractors
35985_9017,Successful first closing in June 2007 of at least EUR 30 million. Reach target size of EUR 50 million at final close.
35985_9018,Attracting private Polish institutional investors
35985_9019,Further developing of the management team by adding two investment officers
35985_9020,Adherence to EVCA-approved reporting standards
35985_9021,Stimulating management teams by providing assessments of MBO strategy applicability as measured by the number of such assessments delivered
35985_9022,Exiting investments through IPOs on the WSE and other stock exchanges 
35985_9023,Two thirds of the portfolio?s value to consist of SME companies as defined by EU criteria
35985_9024,Average value of investment of EUR 5 million 
35985_9025,"70% of all deals by value outside of Warsaw, Poznan and Wroclaw"
35985_9026,Ability to raise successor fund
35985_9027,Improved financial performance of investee companies as measured by EBITDA growth and margin. Max 15% of write-offs of capital invested
35985_9028,"Active role in the investee companies, effected through board memberships, restructuring and active engagement in strategic planning"
36116_4799,Commercial success (return to profitability)
36116_4800,Start-up of integrated steel production
36116_4801,Implementation of energy efficiency investments
36116_4802,Increase of production volumes / restart of integrated steel production
36116_4803,Increased local supplies of iron ore
36116_4804,Increased railway traffic volumes
36116_4805,Increase electricity supply on commercial terms
36116_4806,Commercial success of Mittal Steel?s investment
36384_9203,Completion of construction and commercial success of the Project
36384_9204,Creation of other privately owned bases in the Kazakh sector of the Caspian Sea.
36384_9205,Capacity utilization measured by number of vessels using the base meeting or exceeding numbers in the base case financial model.
36384_9206,Stabilising or decreasing margins charged per tonne of fuel sold from levels in the base case financial model.
36384_9207,Election of EBRD Board Member able to monitor and influence project operations.
36384_9208,Covenant by the Borrower of not accepting hazardous waste at the base until disposal facilities acceptable to the Bank are available in the area.
36751_7355,At least 2 projects or 15% of the Fund capital committed to either Moldova or Ukraine
36751_7356,At least 50% of the Fund's commitments should be development projects
36751_7357,The participation of EBRD in the Fund will attract at least 2 first time private investors into the Fund developing the real estate projects in the Region.
36751_7358,At least one other similar fund in the next 5 years and at least 2 new institutional development in each regional capital city within the next 8 years
36751_7359,Build the portfolio consisting of commercial properties up to international design and construction standards as evidenced by the sale of at least 75% of completed commercial properties to institutional investors with satisfactory integrity standards.
36751_7360,"Monitor project by project Bluehouse's cooperation with local investors, local management and contractors (on-time completion, on-budget completion)"
36885_5704,Successful first close of at least EUR 100 million
36885_5705,"Quality of investor base - proportion of institutional investors (pension funds, insurance companies, private banks) should reach 80% (excluding EBRD)"
36885_5706,Attracting new investors to the region - about 65% of aggregate capital should comprise new investors to the region (excluding EBRD)
36885_5707,30% of investments in terms of value will be in non-EU countries
36885_5708,Financial success of the fund - producing at least case returns (12.3% net IRR) or returns in excess of relevant benchmarks measured ex-post
36885_5709,Implementation of best industry practices )e.g. adoption of EVCA valuation guidelines and other related operation guidelines issued by EVCA)
36885_5710,Raising of other funds-of-funds dedicated to the region - it is expected that competing fund managers would raise two or more such funds during Alpha CEE's investment period.
36886_9349,"Achieving the minimum Euro 100 million target at first closing and ability to increase that size in subsequent closings, thus creating sustainable long-term model of the team."
36886_9350,Attracting quality investors without the support of a sponsor
36886_9351,urther development of the fund management team
36886_9352,Successful raising of a follow-on (third) fund
36886_9353,Improved financial performance of investee companies through operational improvements and corporate restructuring
36886_9354,"Hands on approach in investee companies, including board representation"
36886_9355,Financial success of the fund as measured by  ex-post evaluation of net returns (net IRR) to be in the 1st or 2nd quartile
36886_9356,"Use of more complex structures.  At least 1/3 of all investments made will apply financial tools such as use of leverage, mezzanine financing, securitisation or IPOs on new stock exchanges"
36886_9357,Geographical expansion of investments to the Balkan region. The Manager expects that 30% of the used capital will be deployed to companies with primary or significant operations in the Balkans 
36901_6034,Strengthening the bank's capital by the strategic investor and EBRD; increase of capital adequacy ratio by Georgian standards from 13.6% currently to 16%
36901_6035,Development and implementation of a Strategic Business Plan together with the strategic investor
36901_6036,Appointment of 3 key international proffessional staff in the managment board
36901_6037,Appointment of 3 SG nominees and 1 EBRD nominees in BR's Supervisory Board
36901_6038,TA from SG of up to USD 500K per annum
36901_6039,Growth of loan portfolio from USD 73 million currently: to USD100 million
36901_6040,to USD 310 million
36901_6041,Implement credit scoring model
36901_6042,Number of branches: Opening of 10 new banking offices
36901_6043,Growth of deposits from USD 87 m currently: to USD 130 million
36901_6044,to USD 360 million 
36901_6045,Market share by assets from 8.1 percent currently to 9.0% ; to 12.5%
36901_6046,Market share by deposits from 11.1 % currently: to 12.1%; to 13.5 %
36901_6047,Non-SG guaranteed borrowing from commercial lenders
36901_6048,Entry by other foreign strategic investors into Georgian banking sector
37075_8836,Achieving first closing of the fund? providing continuity for proven locally based fund managers.
37075_8837,Attracting quality private investors to effectively a first time fund manager team.
37075_8838,Successful raising of a follow on fund.
37075_8839,"Number of investment opportunities identified, processed and concluded measured by numbers of companies in consecutive phases of the pipeline and ultimately with number of portfolio companies."
37075_8840,"?	Efficiency of the use of committed capital, measured by the relation of the Fund?s aggregate investments to the total commitments in the Fund."
37075_8841,Improved financial performance of investee companies through operational improvements and corporate restructuring ? measured by the number and proportion of investees achieving positive financial results.
37075_8842,"Hands on approach in investee companies, including board representation ? measured by number of supervisory board positions taken by BaltCap team, as well as qualitative information on the team?s involvement in managing the companies."
37075_8843,Achieving financial success for the Fund ? gauged by gross and net money multiples and returns (IRR).
37075_8844,"Creation of an alternative, local private equity investing team, attracted by the success of BaltCap Fund."
37187_16368,"A tailored service contract signed, implemented and respected by all parties. The contract shall include clear performance benchmarks for the Company"
37187_16369,Liquidation of operating subsidies:  revenues from sales (excluding operating subsidies from the City and Croatian Waters) to the total operating expenditures shall not fall below (i) 70 per cent at the end of 2009; (ii) 80 per cent at the end of 2010; (iii) 90 per cent at the end of 2011; (iv) 100 per cent at the end of 2012 and thereafter.
37187_16370,Application of IFRS
37187_16371,"Replication of transaction structure, notably use of Municipal Support Agreement and Service Contract, in other water utilities in Croatia"
37187_25132,Consolidation of the Company and Vodoopskrba Kupa
37187_25133,"Realisation of operating efficiencies (cost reduction) with the consolidation in a total amount of not less than EUR 120,000 per annum"
37187_25134,Consolidation of the Company with at least one more water and wastewater company in Sisak ? Moslavina county
37187_25135,Similar consolidation of at least two other water and wastewater sector companies in the Republic of Croatia
37187_25136,"The removal of price differential between tariffs for different customer groups (currently around 30 per cent), which are not economically justified"
37187_25137,"Following the establishment of a nationwide benchmarking system of water sector companies, expected by the end of 2017, the Borrower will fully participate in the nationwide performance benchmarking"
37187_25138,Successful implementation of the procurement certification by a recognised professional institution
37210_6126,Increased overall SME market share of SB from currently 15% to 22%
37210_6127,Successful implementation of recommendations from the EBRD expert
37210_6128,Successful syndication with participation by new international banks
37210_6129,SB independent borrowing from the commercial market for longer than 3 years tenor and larger than EUR 1 million amounts
37210_6130,Completion of the EBRD expert's assignment and use of the expertise transferred in better risk management and new banking products.
37210_6131,Growth in the share of SB's loan portfolio outside the capital city from currently 74% to 80%
37210_6132,Increase in loan portfolio to SME customers from currently 78% ton82% of total gross loans
37225_6687,Commercialisation and attracting commercial funding: Diversification of funding sources
37225_6688,"Number of new loans extended: 1,000"
37225_6689,"Volume of loans extended: EUR 2,800,000"
37225_6690,"Size of average loan extended: 90% of loans disbursed under this facility to be for amounts below EUR 10,000."
37225_6691,Arrears on total MSE portfolio (including that financed by EBRD loan): Not more than 5%.
37225_6692,Profitability of the MSE portfolio: Reach profitability of loan portfolio crated by the proceeds of the loan adjusted for TA.
37225_6693,Expectation that the partner institutions will continue with the provision of microfinance after the end of the loan: Increase of client base and attraction of funding.
37268_7700,"Use of leveraged transactions.  It can be e xpected that at least 1/3 of all investments made will apply more sophisticated financial tools, such as acquisition debt and/or mezzanine financing"
37268_7701,"Geographical expansion of investments: 50% of the Fund is expected to be invested outside the ""EU-6"" countries."
37268_7702,"30% is expected to be invested outside the core countries (defined as ""EU8"", Bulgaria and Romania)"
37268_7703,Attracting EUR 180-200m in the first closing and reaching EUR 500m in total commitments
37268_7704,Hiring 2-3 professionals to cover SEE countries
37268_7705,At least 20% gross IRR on the total investment portfolio basis.
37268_7706,Net IRR at or exceeding 15% for the limited partners
37268_7707,Board representation expected in at least 90% of investee companies
37268_7708,Identification and development of capable local managers.  Around 60% of the transactions are expected to be minority stake transactions in the companies majority owned by local entrepreneurs
37269_7783,Establishment of a sustainable mezzanine provider in CSEE. Opening of another regional office in the region (in additional to Polish office)
37269_7784,"Attracting sufficient quality private capital to achieve required fund increase, to the level of between EUR 100 million and EUR 150 million to commitments."
37269_7785,"At least 2/3 of commitments to come from private (""non-IFI"") investors"
37269_7786,Development of the regional management team.  Creation of a team of at least 6 mezzanine professionals.
37269_7787,Improved financial performance of investee companies through operational improvements and corporate restructuring.
37269_7788,Achieving financial success for the Fund.  Net IRR for the investors to be at the 12% level or more.
37269_7789,"Enhancement of the financing structures, offered both to the sponsors (private equity industry, managements in MBOs) and companies directly.  Three quarter of total transactions expected to be executed along a sponsor and quarter of transaction are expected to be sponsor-less deals."
37269_7790,"Geographical expansion of investments: 30% of the Fund is expected to be invested outside the ""EU-8"" countries."
37397_8661,Strengthening of the Management Board by appointing of the new CEO from SG group
37397_8662,Strengthening of the Supervisory Board by appointing of SG experienced representatives and one Bank nominee.
37397_8663,Improvement of MB?s reporting standards to SG Group level and full consolidation of financial reports with SG Group.
37397_8664,All MB?s professional staff training both locally and in other SG?s subsidiaries (BRD). 
37397_8665,"Establishing of SG Group standards for MB?s internal audit, risk management and financial analysis functions."
37397_8666,"Introduction of SG Group methodologies for project analysis, including cash flow based and ratios analysis. Implementation of specialised software."
37397_8667,Growth of the net loan portfolio from ?68 million currently to over ?130 million;
37397_8668,Growth of deposits from ?78 million currently to over ?150 million;
37397_8669,Opening of 20 new banking offices
37397_8670,Market share by assets from 8.2% currently to over 10%; 
37397_8671,Market share by deposits from 7.7% currently to over 10%.
38292_11694,"Expansion of BT?s branch network by 80 new units in 2007, 80 units in 2008 and 60 units in 2009."
38292_11695,To launch at least two new products such as products for micro clients and rural SMEs with the target to reach number one position in the market for SMEs.
38292_11698,Successful exit
38325_9932,Increase share in total banking assets from 0.4% to 1%
38325_9934,Successful implementation of IBP 
38325_9935,Streamlining shareholders structure
38325_9936,More efficient composition of the Board of Directors and the board committees
38325_17939,Increase loan book from USD 25 million to 45 million
38325_17940,Make at least one investment in a bank's equity by a reputable foreign investor
38325_17941,Improvement of organisational structure
38325_17942,Develop a range of retail products
38325_17943,Establish Risk Management Department and adopt a risk management policy
38325_17944,At least 10 MSME loan officers trained
38325_17945,Implementation of micro lending methodology (lending to MSEs based on cash-flow analysis) Mid 2008
38325_17946,Adoption of new lending procedures for SME (revised credit assessment and administration) 
38325_17947,Arrears on MSE loans over 30 days below 3% and on SME loans - below 5% 
38325_17948,Two new banks in Belarus join the MSME programme 
38325_17949,Make MSE loans of at least USD 1 m. with own funds
38325_17950,At least 5 offices operating in MSME Programme 
38325_17951,USD 5 millions disbursed to MSME 
38325_17952,At least 20% of loans to MSMEs made outside Minsk
38344_19139,Project reaches financial close
38344_19140,Project enters operation
38344_19141,Amendment of tariff methodology to ensure pass-through of feed-in tariff costs
38344_19142,Adoption in market rules of structure ccommodating TSO as central buyer of renewable energy
38344_19143,"Adoption of technical provisions, in relevant PPA and Grid Code, allowing for the connection of intermittent power"
38344_19144,Additional 50MW of renewable energy reaches development completion
38344_19145,At least 1 other renewable energy project is financed on a non-recourse project financed basis
38344_19146,Project generates 160 GWh per annum
38344_19147,Project achieves an IRR of 15% at exit
38344_19148,"Project sells the equivalent of 164,000 tonnes of CO2 reduction credits"
38344_19149,100 MW of other private sector power projects reach development completion
38399_9233,Change in the Board of Directors 
38399_9234,Appointment of 1 EBRD and 1 OPEC Fund nominees at BBA?s Board of Directors
38399_9235,Change of the CEO
38399_9236,Implementation of a Management Contract between BBA and Byblos Bank
38399_9237,Definition and implementation of technical assistance 
38399_9238,Increase share in total banking assets from 1% as at 31.08.07 to 8% at year-end 2013
38399_9239,Opening of two branches per year
38399_9240,Growth in loan portfolio from USD 6.7 million as at 31.08.07:  to USD 12.5 million as at 31.12.08 ;   to USD 24 million as at 31.12.09
38404_9129,Successful introduction of micro-leasing products through Xac Leasing
38404_9130,Creation of mortgage subsidiary
38404_9131,Successful introduction residential mortgage lending
38404_9132,Creation of insurance subsidiary
38404_9133,Introduction consolidated IFRS reporting for Xac-GE
38404_9134,Use of international auditor
38404_9135,Successful introduction micro-insurance products
38404_15309,Net increase in XB's SME portfolio by MNT 250 bln (USD 200 mln) from MNT 134 bln at end-2010
38404_15310,Net increase in XL's lease portfolio by USD 25 mln from USD 4.8 mln at end-2010
38404_15311,Net increase in XL's operation network (XB's office) to reach over 20 from 10 at end-2010
38404_15312,Hiring the head of SME lending department (New BM with Cap. increase Dec 2010)
38404_15313,SME portfolio accounts for more than 50% of GLP (New BM with Cap. increase Dec 2010)
38404_15314,Appointment of the new CFO of TFG with international expertise (New BM with Cap. increase Dec 2010)
38404_15315,New SME practice is introduced (New BM with Cap. increase July 2011)
38404_15316,Risk-based pricing model is introduced (New BM with Cap. increase July 2011)
38404_18396,Commercial success of return on Chinese investment
38404_18397,Business sustainability of TFG group level (improved profitability at the group level)
38475_10206,Implementation of Private equity capacity Building Programme
38475_10207,Expansion of Private equity market in Kazakhstan
38475_10208,Adherence to the principles of maximum openness in relations with investors
38475_10209,Comprehensive and quality analysis of funds? and investees? performance
38475_10210,Migration to EVCA-approved reporting standards 
38475_10211,Returns of investments
38475_10212,Ability to minimize net-gross gap
38475_10213,Ability to operate without subsidy
38475_10214,"Ability to internalize the key administrative work, where appropriate and applicable."
38475_10215,Number and pace of investments/exits made
38475_10216,Ability to raise successor funds
38475_10217,Ability to deliver consistent returns to investors
38475_10218,Commitment to continuing private equity business after EBRD support has ended 
38647_9615,Increase in overall system reliability and availability 
38647_9616,Annual transmission losses decrease by 0.5%
38647_9617,"Development of a country-wide program for safe management and utilization of PCB and asbestos waste in the transmission sector, together with the initiation of a policy dialogue with relevant ministries to extend this program as a template for the power sector more generally"
38647_9618,KEGOC's transmission tariffs to reflect accurately true costs and appropriate return ? currently expected to result in a compound annual growth rate of 10%
38647_9619,KEGOC closes a significant long-term financing with commercial banks without IFI involvement
38647_9620,Significant progress towards accurately reflecting both long and short term costs of generation in end-user tariffs and reduction of cross-subsidies
38647_9621,Development of a market-friendly mechanism for stimulating private sector investment in new generating capacity ? demonstrated by the closing of the financing for at least one large new private plant
38662_11113,Completion of construction and commercial success of the Project measured by MOBY achieving revenue levels forecasted in the base case financial model.
38662_11114,Turnover fiom third parties to be at least 30% of total fiom year 3 and 50% fiom year 6.
38662_11115,At least 50% of MOBY's workforce to be locally recruited.
38662_11116,At least 50% of Supervisors at the facility to be locally recruited.
38662_11117,"Introduction of IS0 900 1 :2000, IS0 14001: 2004 and OHSAS 1800 1 : 1999 standards at the Bautino facility."
38662_11118,Covenant by the Borrower of not producing or accepting hazardous waste at the base until disposal facilities acceptable to the Bank have been indentified.
38662_11119,Compliance with the ESAP agreed with the Bank.
38770_13092,Separation of management accounts for transport and trading operations
38770_13093,Audited financials presenting a separation for transport and trading operations
38770_13094,Separation of management teams between transport and trading operations
38770_13095,BH-Gas will sign an agreement with the Government of Central Bosnia Canton undertaking to allow private companies to participate in tenders for the attribution of the gas distribution concession in all four municipalities 
38770_13096,Adoption by BH-Gas of the Procurement Policies and Rules for public sector projects
38770_13097,Creation of a dedicated environmental team within BH-Gas and adoption of policies and reporting on environmental and health & safety matters 
38824_11090,Successful implementation in the regulation of the conclusions for the study on Third Party access
38824_11091,Successful implementation of the Tariff Methodology for electricity distribution
38824_11092,Total investment during the period 2009-10 on time and on schedule (at least EUR 70 mln minus refinancing)
38824_11093,Third party access effectively introduced and operating.
38824_11094,"Improvement in labour efficiency, through increase of the ratio of energy distributed to staff number from the existing 570 MWh per employee to 670 MWh per employee."
38824_11095,Meeting the quality of supply benchmarks developed by USAID and adopted by PSRC.
38824_11096,Reduction on network losses from 18% to 13%
38924_11242,Creation of a Supervisory Board
38924_11243,EBRD supervisory Board seat
38924_11244,"Creating a fully standardised and harmonised financial, technical and operational reporting system for the key subsidiaries. The reporting will enable uniform monthly reporting and aid in management decision making and planning"
38924_11245,Monthly uniform reporting and aid in management decision making and planning for key subsidiaries
38924_11246,Establishing centralised HR function
38924_11249,"Procurement of at least 40,000 tonnes of sunflower and 35,000 soybeans for the 2009-10 harvest financed by the Working Capital part of the Project"
38924_11250,Adoption of the WHR Law
38924_11251,"Increase in modern grain and oilseed silos capacity by 10%, excess capacity will be rented out to third parties"
38924_11252,Provision of fertiliser to 50 additional farm cooperatives (increasing the number to 500 farms from currently 450)
38924_11253,Increase of high value-added sales of products for human consumption
38924_11254,"Increase sales of texture products from 12,000 tonnes to 24,000 tonnes"
38924_11255,Increase sales of products for human consumption (other than textures) by 8% pa
38930_10481,Final closing of at least USD 80 million
38930_10482,Ability to attract at least two private investors for a combined USD 10 million minimum
38930_10483,Investment in at least seven investee companies
38930_10484,Financial success of the Fund (net IRR of at least 15%
38930_10485,"Successful exits, through sale to strategic investors and MBOs, and at least one IPO on a local stock exchange"
38930_10486,Ability to raise a successor fund
38930_10487,Improved financial performance of investee companies as measured by EBITDA or EBT level profitability change between entry an exit.
38930_10488,Adoption of international accounting and reporting standards by investee companies
38930_10489,"Hands on approach in investee companies, including board representation in at least 75 per cent of the investee companies."
38987_32987,"Financial management, particularly inventory management to be improved. "
38987_32988,The company will introduce a new business concept in the market
38987_32989,Introduce and implement formal procedure for internal dispute mechanism. 
39031_10059,Strengthening the bank?s capital by the strategic investor and EBRD; increase of capital adequacy ratio by Georgian standards from 13.6% currently to 16% ;
39031_10060,Development and implementation of a Strategic Business Plan together  with the strategic investor
39031_10061,Appointment of 3 key international professional staff in the management board
39031_10062,Appointment of 3 SG nominees and 1 EBRD nominees in BR?s Supervisory Board
39031_10063,TA from SG of up to USD 500 K per annum
39031_10064,Growth of the loan portfolio from USD 73 million currently:    to USD 100 million; to USD 310 million
39031_10065,Implement credit scoring model
39031_10066,Number of branches: Opening of 10 new banking offices
39031_10067,Growth of deposits from USD 87 m currently : to USD 130 million; to USD 360 million
39031_10068,-  Market share by assets from 8.1% currently: to 9%; to 12.5%
39031_10069,Market share by deposits from 11.1% currently: to 12.1%; to 13.5%
39031_10070,Non-SG guaranteed borrowing from commercial lenders
39031_10071,Entry by other foreign strategic investors into Georgian banking sector.
39103_15374,Ability to attract quality investors to reach target size (private and non-IFI investors above 50% at final closing)
39103_15375,Establishment of two local offices in the countries of operation
39103_15376,Ability to raise seccessor funds focussed on restructuring of underperforming companies
39103_15377,Hands on approach in all investee companies including board representation
39103_15378,Successful restructuring of at least 70% of the investee companies
39103_15379,Achieving financial success of the Fund measured by the number of successful exits (net IRR exceeding 10%)
39123_11283,"First investment in either Poland, Slovak Republic, Hungary and Romania"
39123_11284,Two additional investments
39123_11285,Three additional investments
39123_11286,Signed new concession agreement following a public tender in an EBRD Country of operation
39123_11287,Expansion into Russia or Moldova with an initial investment by the end of 2012.
39123_11288,Contracts acquired through competitive tenders or procurement procedures acceptable to the bank.
39123_20976,First ANE investment in SEMED (expected to be New Cairo WWTP)
39123_20977,Second ANE investment in SEMED
39123_20978,Two ANE investments in EU countries of operations
39123_20979,Two ANE investments in non-EU countries of operations
39251_12046,Capital adequacy does not fall below 1% above the regulatory minimum (currently 12%)
39251_12047,Completion of EUR 30 million capital increases in subsidiaries in Montenegro and Bosnia and Herzegovina 
39251_12048,Increase of net loan portfolio by at least EUR 100 million from 2008 year end levels
39251_12049,Completion of outstanding IBP measures by KMBN as detailed in the long form of the consultant?s annual IBP progress report
39251_12050,Tender announcement for hiring financial advisor
39251_12051,Report of financial advisor on privatisation of KMBN
39251_12052,Confirmative statement by RoS of intention to privatise KMBN
39251_12053,RoS to agree joint privatisation plan with IFIs
39251_12054,Privatisation completed 
39414_26923,5 loan officers trained in credit assessment skills and lending methodology
39414_26924,Rapid implementation of SME credit line ? at least 15 Sub-loans disbursed
39414_26925,Widening access to innovative financial services through cross offerings ? 50% of sub-loan clients also use ASB?s other products / services
39414_26926,Growth of SME loan portfolio not financed by EBRD by $4 million
39414_26927,Transparent disclosure of FX risks in the form of: ?if the currency depreciates by XX your monthly payment will increase by YY?
39653_21370,KB to disburse the following VCF loan amounts (starting from end-2012): - USD 15 million; - USD 25 million
39653_21371,KB to increase the number of large corporations (Sponsors) who support KB?s VCF by at least 2
39653_21372,KB to increase the number of MSMEs who receive VCF loan: by 30%; by 65% 
39653_21373,KB to strengthen the external marketing for VCF products: - Distribute the VCF presentation material to; - Create the VCF page on KB?s website; - Organise at least two VCF events
39653_21374,KB to introduce at least one formal credit enhancement agreement with the sponsor 
39653_21375,At least one more bank in Mongolia to actively market VCF 
39653_21376,KB to actively work on the development of a new form of VCF product
39653_21377,KB to appoint the VCF champion in order to ensure the close co-operation on VCF between the Retail Division and the Wholesale Banking Division as well as to oversee the transfer of VCF skills within the bank
39653_21378,KB to form a VCF committee (approved by KB?s Board) and stipulate frequency and content of the committee?s meetings
39653_21379,KB to conduct at least two internal VCF seminars per year for the credit officers
39653_21380,KB to establish an employees' incentive scheme to promote VCF products
39653_21381,KB to grow the MSME loan portfolio (USD 300 million at YE2012): - By at least USD 40 million; - By at least USD 60 million
39653_21382,KB?s MSME loan portfolio to constitute no less than 20% of the total customer loan portfolio
39653_21383,KB to ensure that enhanced disclosure of risks and stress testing of risk facing clients that borrow in FX is carried out for all FX lending to MSMEs
39658_15597,Increased overall SME market share of SB
39658_15598,Successful implementation of the recommendations from EBRD expert
39658_15599,Accomplishment of the EBRD expert?s assignment and use of the expertise transferred in better risk management
39676_15511,Number of credit officers trained (at least 50)
39676_15512,MBR is expected to maintain lending to SMEs once the EBRD SME andTC programmes are implemented
39676_15513,"All sub-borrowers will be informed of the risks of borrowing in foreign currencies (in a written form, including a numerical example)"
39676_15514,Stress tests assuming various devaluation scenarios will be performed to test the debt service capacity of unhedged sub-borrowers for forex loans
39676_15515,Arrears over 60 days ratio (not more than 5%)
39676_15516,"Portfolio of sub-loans from EBRD funds: Average size of sub-loans to be EUR 70,000or less (compared to c. EUR 109,000currently) "
39676_15517,Portfolio of sub-loans from EBRD funds: At least EUR 13 million to be extended to SMEs satisfying the ?New Client? definition
39676_15518,Portfolio of sub-loans from EBRD funds: Average maturity of sub-loans to be extended to 36 months or more (compared to the current average of 22 months)
39676_15519,Portfolio of sub-loans from EBRD funds: Lending to SMEs located outside of Bucharest to account for at least 50% of total volume of sub-loans financed from the credit line (compared to 36.5% currently)
39676_15520,MBR?s overall SME portfolio: Increase in MBR?s SME loan portfolio by at least EUR 10 million
39676_15521,MBR?s overall SME portfolio: Increase in MBR?s SME loan portfolio by at least EUR 20 million
39852_15965,Ability to attract quality investors (private and institutional quality investors above 66% at final closing).
39852_15966,Ability to raise capital close to the target fund size of EUR 250 million.
39852_15967,Ability to raise a successor fund.
39852_15968,Making three or more investments in a non-EU country.
39852_15969,"Achieving financial success for the Fund, with net IRR exceeding 15%."
39852_15970,Board representation on more than 90% of investments made by the Fund.
39852_15971,Management changes in at least three portfolio companies.
39863_14427,Successful First Close at least at EUR 60m
39863_14428,Commercial investors to represent at least 40% of the Fund
39863_14429,Maintaining an adequately staffed affiliated office in Istanbul
39863_14430,"At least three investments in Ukraine, Turkey or Moldova"
39863_14431,Investments outside Romania and Bulgaria to represent at least 20% of total investments (in terms of volume)
39863_14432,Successful raising of a subsequent fund
39863_14433,The Fund to take Board representation in at least 75% of portfolio companies 
39863_14434,Successful financial performance of the investee companies (maximum 10% of write offs of capital invested)
39863_14435,Early indication of financial success through NAV based IRR above 15%
39929_27389,Increasing the total grain stored from 372 kt to 580 kt.
39929_27390,Increasing the average rotation rate in the silos from the current level of 116% to 183% (measured by dividing the amount of grain stored p.a. with the storage capacity of the silos)
39929_27391,"Improve the drying efficiency from 6000 MJ/t of water removed to 4,800 at Jachkov Silo (Ukraine), and from 9,100 MJ/t to 5,500 MJ/t at Gorodok Silo (Ukraine). Industry best practice is currently 4,800 MJ/t to 5,500 MJ/t."
39929_27392,"Total energy saving of 1,000 per year of CO2 at the SPV's Ukrainian Silos."
39929_27393,"Reduce loss from theft, spoilage and pest from current level of 16% to 4%"
39929_27394,"Invest in at least 50,000 t by new storage outside the currently identified investments "
39929_27395,"Increase the supplier base, an hence the number of farmers benefiting from technical assistance, from 300 to 525 in Romania 2640 to 3,100 in Poland; 40 to 75 in Russia; and 770 to 1,100 in Ukraine"
39929_27396,Increasing the total grain stored by third parties from 148 k t to 232  kt
