code,ind_name,ind_name_desc
ST.121.1,Average size of loans disbursed by partner financial institution to clients in mortgage,"Average size of sub-loans disbursed to clients during a reporting period. The type of target segment will be specified from the following menu: mortgage, leasing, SMEs, energy efficiency investments, renewable energy investments, efficiency investments, climate adaptation investments, women-led businesses, women-led (M)SMEs, target regions, agriculture sector , TFP (Trade Finance Programme), energy efficiency investments, renewable energy investments, resource efficiency investments, climate adaptation investments, information and communication technologies, manufacturing and services, property and tourism, natural resources, power and energy, local currency, DCTFA compliance"
ST.79.1,Improved quality of infrastructure,"Improved quality of services and products specify . Client expands access to or improves quality of services and products. The type of services and products specified from the following menu: infrastructure, ICT, water services, electricity services, within regions, across regions, natural resources product or services. The number of recipients should be disaggregated by sex."
LT.19.1,Number of outstanding loans of partner financial institution for mortgage,"Number of outstanding loans of partner financial institution in the target segment remaining on partner financial institutions’ balance sheet at the end of the reporting period. The type of target segment will be specified from the following menu: Mortgage, Non-bank refers to insurance, leasing, SMEs, Green Economy, Women-led businesses, Regions, Agriculture sector, and other target segments to be defined."
ST.10.1,Number of loans disbursed by partner financial institution disbursed for mortgage,"Number of loans disbursed by partner financial institution in the targeted segment during the reporting period by a partner financial institution. The type of target segment will be specified from the following menu: Mortgage, Non-bank refers to insurance, leasing, SMEs, Green Economy , Women-led businesses, Regions, Agriculture sector, and other target segments to be defined."
LT.5.1,EBITDA Margin,"Profitability Ratio specify in reporting period. A financial metric used to assess EBRD client's ability to generate earnings compared to its expenses and other costs incurred over reporting periodspecify. The type of profitability ratio will be specified from the following menu: EBITDA Margin, Operating Profit Margin (EBIT), Gross Profit Margin or Net Profit Margin."
ST.23.1,Number of new/improved ICT service(s) connections,"Number of new/improved service connections facilitated by the client. The type of service connections will be specified from the following menu: ICT service(s), water service(s), wastewater service(s), electricity/energy service(s), transport (incl. multimodal) service(s)"
LT.22.1,Financial performance of partner financial institution: NPL (or other asset quality) ratio,"Financial of a partner financial institution metrics performance in a reporting period. The financial metric menu includes: NPL (or other asset quality) ratio, Regulatory Capital Adequacy Ratio, Regulatory Liquidity Ratio(s), Coverage ratio(s) (e.g. loan loss reserves/NPLs), other appropriate financial performance ratios, RoAA/RoAE, Cost-to-Income Ratio, Non-Performing Loans, Capital Adequacy Ratio."
ST.78.1,Number of new international tenants attracted,"Number of new business partners attracted in target areas and engaging in business transaction(s) with the client as agreed upon project signing. The type of business partner will be specified from the following menu: international tenants, customers, distributors, customers & distributors."
ST.114.1,Number of individuals in women receiving knowledge as a result of outreach activities,"Number of beneficiaries in target group receiving knowledge as a result of outreach activities. This includes activities reaching out to specific target group such as women, youth and individuals in a specific geographic location. Number of individuals should be disaggregated by sex. Type of beneficiaries in target group will be specified from the following menu: women, youth, local population. "
LT.99.1,Number of women receiving new employment opportunities after successful completion of training,"Number of individuals in target group that reported finding an employment after the successful completion of training supported through EBRD projects. The number of beneficiaries should be disaggregated by sex. Type of individuals in target group will be specified from the following menu: women, youth, local population, individuals."
ST.103.1,Client engages in policy dialogue: mobilising other stakeholders,"A client or sponsor engages with authorities and/or stakeholder groups on policy, legal/regulatory/institutional changes advocated and/or supported by the EBRD. The menu includes: mobilising other stakeholders, providing substantial contributions to activities, attending meetings, other"
O.8.1,Business advisory recommendations agreed: Draft CGAP prepared,"Business advisory recommendation is the guidance offered to a client with regard to an action to be implemented. Business advisory recommendations are considered to be agreed by the client when such have been delivered (by EBRD or the consultant) and accepted by the by the client for implementation according to the timeline and details specified. Business advisory services may includes: Business Advice, Sectoral Advice, Inclusion & Gender Advice, Green, Energy Efficiency & Climate Change Advice, Integrity and Risk Management Advice, Local Currency and Capital Markets Advice, Environmental and, Social related Advice, Governance Advice. The nature of the advice should be specified at project design/approval."
ST.1.1,Client enters or expands activities in a international market,"Client enters or expands activities via new or expanded operations and/or products in a target market. Activities may include: operations, products or sales. Examples may include: private non-dominant players entering market, FDI entailing clients and/or equity funds opening new offices. The type of market may include: state-dominated, fragmented, international, new regions. The nature of the type of market should be specified in the project design. The type of target market should be specified from the following menu: international market, domestic market, other."
LT.1.1,Volume of outstanding loans of partner financial institution for mortgage,"Volume (millions) expressed in EUR equivalent of outstanding loans of partner financial institution in the target segment remaining on partner financial institutions’ balance sheet at the end of the reporting period. The type of target segment will be specified from the following menu: Mortgage, Non-bank (refers to insurance, leasing), MSMEs, Green Economy, Women-led businesses, Regions, Agribusiness sector, and other target segments to be defined."
LT.2.1,Agriculture productivity of the client,"Productivity measures the efficiency of a company's production process. The menu includes: agriculture productivity, factor productivity, total productivity. "
O.13.1,Project preparation product approved: Feasibility study approved,"Project preparation product is defined as those products that enable the transfer of expertise to a client required to prepare a project. A preparation product is considered to be approved when they have been drafted, presented and delivered on time and recognized by the relevant authority (or EBRD) as the final product. Types of support may include: due diligence reports, feasibility studies and business development studies. The type of product/report provided to the client, who provided the product and the party that provides the final approval should be specified at project design."
LT.99.1,Number of women receiving new employment opportunities after successful completion of training,"Number of individuals in target group that reported finding an employment after the successful completion of training supported through EBRD projects. The number of beneficiaries should be disaggregated by sex. Type of individuals in target group will be specified from the following menu: women, youth, local population, individuals."
ST.9.1,Volume of loans disbursed by partner financial institution for mortgage,"Volume (millions) expressed in EUR equivalent of disbursed in the target segment over the reporting period by a partner financial institution. The type of target area will be specified from the following menu: agribusiness, information & communication technologies, manufacturing & services, property & tourism, natural resources, power & energy, women-led businesses, women-led (M)SMEs, energy efficiency investments, renewable energy investments, resource efficiency investments, climate adaptation investments."
ST.113.1,Share of local private investors in capital market instrument or equity fund at the issuance,"The share of the targeted type of investors in issuance/close of capital market instrument or equity fund at the given time as a percentage of the total. The type of targeted type of investors will be specified from the following menu: local private investors, non-IFI/non-DFI institutional investors. For equity funds, this reporting can only be done at the final close."
ST.15.1,New or updated technology introduced,"New or updated technology adopted by the client according to an agreed standard. The type of system or product will be specified from the following menu: technology, equipment, operating/production process, product, products & services. "
ST.19.1,Targeted composition of investors achieved by final close of the capital market instrument,"The targeted composition of investors achieved by final close of the financial product or instrument. The menu for financial product or instrument includes: capital market instrument, fund, bond, security, syndication."
ST.21.1,Cooperation partnership between private sector and education providers established or strengthened in R&D,"The indicator is used to ascertain the establishment of a partnership and/or evidences of a strengthened cooperation between a private sector client (or company) and a education provider. Education providers include local academia and vocational technical schools. The type of target area will be specified from the menu: R&D, training and dual learning programmes to support access to education and learning opportunities for previously excluded target groups (e.g. women, youth, etc.)."
LT.11.1,Number of suppliers improving quality of products,"Number of suppliers/distributors improving or upgrading quality of products, processes, operational standards, and/or practices specify. Improvement could be achieved through technology upgrading, research and innovation investment, certification in international standards, process optimization etc. The type of delivery will be specified from the following menu: products, operational standards, processes, practices."
ST.12.2,Improved environmental standards,"Improved standard of client/supplier/stakeholder is defined as specific measurable performance indicators which show improvement as per identified metric. The type of standards will be specified from the following list: operational standards, environmental standards, business standards, financial standards, licensing standards, quality standards, health & safety standards, procurement standards, reporting standards, cyanide management standards, CSR reporting standards, GRI standards, IFRS/GAAP standards, energy management standards (including building /goods certifications)."
ST.13.2,Practices of the relevant stakeholder improved (inclusive procurement practices of the client's holding company) ,"Practices of the client or relevant stakeholder improved as targeted is defined as those practices that have been raised to a better quality or standard defined by measurable performance indicators agreed upon at project signing. The type of practices will be specified from the following list: inclusive procurement practices of companies in the client's supply chain, inclusive procurement practices of the client's holding company, equal opportunity practices of the client, equal opportunity practices of companies in the client's supply chain, equal opportunity practices of the client's holding company, environmental, EMS/disclosure, agriculture-specific practices (SEED toolkit/Smart retail concept/supply chain mapping), permitting/licensing procedures, social protection measures, system reliability, NPL domain, deposit insurance, operational, anti-corruption action plan, MSME non-financial management, others, innovative green business model, climate change adaptation practices."
ST.115.2,Share of equity fund's investment allocated to a SME,The share of total equity fund investment as per the targeted segment (SME or Region).
O.14.2,Project implementation support completed: Client adopts inclusive procurement recommendations,"Project implementation support is the provision of expertise to support the implementation and/or the monitoring of an engagement. Project implementation support is considered to be completed when the defined product or activity has been delivered to the client in the agreed timeframe and to the required specifications. This can include the final drafting or approval of a report with recommendations or plan and support for implementation of the recommendations/plan. It can also include support to ensure compliance with EBRD requirements, standards and covenants. The nature of the support to be implemented should be specified at project design/approval."
O.5.2,Policy advice delivered: Draft recommendations for improved legal,"Policy advice delivered to the client by EBRD or consultant(s) through a policy related report on time and as defined in the project. This may include: policy recommendations that contribute to a policy or strategy submitted and/or a legal/institutional or regulatory framework submitted. The type of policy advice delivered and to which party (government, client, etc.) should be specified during project implementation."
ST.2.2,State ownership reduced: state ownership reduction to target levels,"This indicates that the asset share owned by the state in a given sector was reduced during the reporting period. The nature of the target mechanism should be specified in the project design/approval. The type of state ownership reduced will be specified from the following menu: full private ownership, state ownership reduction to target levels, partial privatization."
LT.4.2,Sales Turnover/Revenue of investee firm of equity fund,Amount of money accrued by the EBRD beneficiary firm from the selling of goods and services over a reporting period. Beneficiary firm could be: client or investee company of equity fund.
ST.31.2,New financing instrument or method introduced: non-recourse,"The evidence of new financing instrument or method introduced specify. The type of instrument or method introduced will be specified from the following menu: asset class (e.g. derivatives, ETFs), non-recourse, bond, swap, syndication, agriculture-financing, green bonds, infra financing instruments (bond, PPP, ESCO, concession), non-recourse lending, streaming, mezzanine, listed investment entities, YieldCos, risk sharing, others."
LT.16.2,Operational performance of the client: efficiency,"The specified operational performance or efficiency metrics of the client. Examples of such measures (depending on sector/project circumstances) could include: efficiency (cost/employees), cost savings, working capital cycle, cost per unit, input use, losses reduced, waste reduced, fare box ratio, availability rate, revenue collection rate, response time, waste recovery rate. The metric of operational performance or efficiency will be specified from the following menu: productivity, efficiency, working capital cycle/cash conversion cycle, cost savings, waste reduction, export share, other."
ST.18.2,Number of investee firms invested by the fund: SME,"Number of investee firms that the equity fund invested in target segment. The type of target segment will be specified from the following menu: region, SME, other; type of investees (innovative, corporate etc.)."
LT.97.2,Equity fund financial performance: Net Total Value To Paid-in Ratio,"Equity fund financial performance (Metric of equity) is defined as the financial performance of equity fund over reporting period. It is a subjective metric of how well the fund has performed in a reporting period. The type of measure will be specified from the following menu: Gross multiple, Net Total Value To Paid-in Ratio (net TVPI), gross IRR, net IRR)."
ST.75.2,Expanded access of ICT,"Expanded access of services and products specify. Client expands access to or improves quality of services and products. The type of services and products specified from the following menu: infrastructure, ICT, water services, electricity services, within regions, across regions, natural resources product or services. The number of recipients should be disaggregated by sex."
LT.21.2,Total gross insurance premium for leasing,Volume (millions) expressed in EUR equivalent of total gross insurance premium for target segment at the end of the reporting period. The type of target segment will be specified from the following menu: life and non-life.
ST.121.2,Average size of loans disbursed by partner financial institution to clients in leasing,"Average size of sub-loans disbursed to clients during a reporting period. The type of target segment will be specified from the following menu: mortgage, leasing, SMEs, energy efficiency investments, renewable energy investments, efficiency investments, climate adaptation investments, women-led businesses, women-led (M)SMEs, target regions, agriculture sector , TFP (Trade Finance Programme), energy efficiency investments, renewable energy investments, resource efficiency investments, climate adaptation investments, information and communication technologies, manufacturing and services, property and tourism, natural resources, power and energy, local currency, DCTFA compliance"
ST.79.2,Improved quality of ICT,"Improved quality of services and products specify . Client expands access to or improves quality of services and products. The type of services and products specified from the following menu: infrastructure, ICT, water services, electricity services, within regions, across regions, natural resources product or services. The number of recipients should be disaggregated by sex."
LT.19.2,Number of outstanding loans of partner financial institution for leasing,"Number of outstanding loans of partner financial institution in the target segment remaining on partner financial institutions’ balance sheet at the end of the reporting period. The type of target segment will be specified from the following menu: Mortgage, Non-bank refers to insurance, leasing, SMEs, Green Economy, Women-led businesses, Regions, Agriculture sector, and other target segments to be defined."
ST.10.2,Number of loans disbursed by partner financial institution disbursed for leasing,"Number of loans disbursed by partner financial institution in the targeted segment during the reporting period by a partner financial institution. The type of target segment will be specified from the following menu: Mortgage, Non-bank refers to insurance, leasing, SMEs, Green Economy , Women-led businesses, Regions, Agriculture sector, and other target segments to be defined."
LT.5.2,Operating Profit Margin (EBIT),"Profitability Ratio specify in reporting period. A financial metric used to assess EBRD client's ability to generate earnings compared to its expenses and other costs incurred over reporting periodspecify. The type of profitability ratio will be specified from the following menu: EBITDA Margin, Operating Profit Margin (EBIT), Gross Profit Margin or Net Profit Margin."
ST.23.2,Number of new/improved water service(s) connections,"Number of new/improved service connections facilitated by the client. The type of service connections will be specified from the following menu: ICT service(s), water service(s), wastewater service(s), electricity/energy service(s), transport (incl. multimodal) service(s)"
LT.22.2,Financial performance of partner financial institution: Regulatory Capital Adequacy Ratio,"Financial of a partner financial institution metrics performance in a reporting period. The financial metric menu includes: NPL (or other asset quality) ratio, Regulatory Capital Adequacy Ratio, Regulatory Liquidity Ratio(s), Coverage ratio(s) (e.g. loan loss reserves/NPLs), other appropriate financial performance ratios, RoAA/RoAE, Cost-to-Income Ratio, Non-Performing Loans, Capital Adequacy Ratio."
ST.78.2,Number of new customers attracted,"Number of new business partners attracted in target areas and engaging in business transaction(s) with the client as agreed upon project signing. The type of business partner will be specified from the following menu: international tenants, customers, distributors, customers & distributors."
ST.114.2,Number of individuals in youth receiving knowledge as a result of outreach activities,"Number of beneficiaries in target group receiving knowledge as a result of outreach activities. This includes activities reaching out to specific target group such as women, youth and individuals in a specific geographic location. Number of individuals should be disaggregated by sex. Type of beneficiaries in target group will be specified from the following menu: women, youth, local population. "
LT.99.2,Number of youth receiving new employment opportunities after successful completion of training,"Number of individuals in target group that reported finding an employment after the successful completion of training supported through EBRD projects. The number of beneficiaries should be disaggregated by sex. Type of individuals in target group will be specified from the following menu: women, youth, local population, individuals."
ST.103.2,Client engages in policy dialogue: providing substantial contributions to activities,"A client or sponsor engages with authorities and/or stakeholder groups on policy, legal/regulatory/institutional changes advocated and/or supported by the EBRD. The menu includes: mobilising other stakeholders, providing substantial contributions to activities, attending meetings, other"
O.8.2,Business advisory recommendations agreed: Anti-corruption plan approved,"Business advisory recommendation is the guidance offered to a client with regard to an action to be implemented. Business advisory recommendations are considered to be agreed by the client when such have been delivered (by EBRD or the consultant) and accepted by the by the client for implementation according to the timeline and details specified. Business advisory services may includes: Business Advice, Sectoral Advice, Inclusion & Gender Advice, Green, Energy Efficiency & Climate Change Advice, Integrity and Risk Management Advice, Local Currency and Capital Markets Advice, Environmental and, Social related Advice, Governance Advice. The nature of the advice should be specified at project design/approval."
ST.1.2,Client enters or expands activities in a domestic market,"Client enters or expands activities via new or expanded operations and/or products in a target market. Activities may include: operations, products or sales. Examples may include: private non-dominant players entering market, FDI entailing clients and/or equity funds opening new offices. The type of market may include: state-dominated, fragmented, international, new regions. The nature of the type of market should be specified in the project design. The type of target market should be specified from the following menu: international market, domestic market, other."
LT.1.2,Volume of outstanding loans of partner financial institution for leasing,"Volume (millions) expressed in EUR equivalent of outstanding loans of partner financial institution in the target segment remaining on partner financial institutions’ balance sheet at the end of the reporting period. The type of target segment will be specified from the following menu: Mortgage, Non-bank (refers to insurance, leasing), MSMEs, Green Economy, Women-led businesses, Regions, Agribusiness sector, and other target segments to be defined."
LT.2.2,Factor productivity of the client,"Productivity measures the efficiency of a company's production process. The menu includes: agriculture productivity, factor productivity, total productivity. "
O.13.2,Project preparation product approved: Due diligence report approved,"Project preparation product is defined as those products that enable the transfer of expertise to a client required to prepare a project. A preparation product is considered to be approved when they have been drafted, presented and delivered on time and recognized by the relevant authority (or EBRD) as the final product. Types of support may include: due diligence reports, feasibility studies and business development studies. The type of product/report provided to the client, who provided the product and the party that provides the final approval should be specified at project design."
LT.99.2,Number of youth receiving new employment opportunities after successful completion of training,"Number of individuals in target group that reported finding an employment after the successful completion of training supported through EBRD projects. The number of beneficiaries should be disaggregated by sex. Type of individuals in target group will be specified from the following menu: women, youth, local population, individuals."
ST.9.2,Volume of loans disbursed by partner financial institution for leasing,"Volume (millions) expressed in EUR equivalent of disbursed in the target segment over the reporting period by a partner financial institution. The type of target area will be specified from the following menu: agribusiness, information & communication technologies, manufacturing & services, property & tourism, natural resources, power & energy, women-led businesses, women-led (M)SMEs, energy efficiency investments, renewable energy investments, resource efficiency investments, climate adaptation investments."
ST.113.2,Share of non-IFI/non-DFI institutional investors in capital market instrument or equity fund at the issuance,"The share of the targeted type of investors in issuance/close of capital market instrument or equity fund at the given time as a percentage of the total. The type of targeted type of investors will be specified from the following menu: local private investors, non-IFI/non-DFI institutional investors. For equity funds, this reporting can only be done at the final close."
ST.15.2,New or updated equipment introduced,"New or updated technology adopted by the client according to an agreed standard. The type of system or product will be specified from the following menu: technology, equipment, operating/production process, product, products & services. "
ST.19.2,Targeted composition of investors achieved by final close of the fund,"The targeted composition of investors achieved by final close of the financial product or instrument. The menu for financial product or instrument includes: capital market instrument, fund, bond, security, syndication."
ST.21.2,Cooperation partnership between private sector and education providers established or strengthened to support learning opportunities for women,"The indicator is used to ascertain the establishment of a partnership and/or evidences of a strengthened cooperation between a private sector client (or company) and a education provider. Education providers include local academia and vocational technical schools. The type of target area will be specified from the menu: R&D, training and dual learning programmes to support access to education and learning opportunities for previously excluded target groups (e.g. women, youth, etc.)."
LT.11.2,Number of suppliers improving quality of operational standards,"Number of suppliers/distributors improving or upgrading quality of products, processes, operational standards, and/or practices specify. Improvement could be achieved through technology upgrading, research and innovation investment, certification in international standards, process optimization etc. The type of delivery will be specified from the following menu: products, operational standards, processes, practices."
ST.12.3,Improved business standards,"Improved standard of client/supplier/stakeholder is defined as specific measurable performance indicators which show improvement as per identified metric. The type of standards will be specified from the following list: operational standards, environmental standards, business standards, financial standards, licensing standards, quality standards, health & safety standards, procurement standards, reporting standards, cyanide management standards, CSR reporting standards, GRI standards, IFRS/GAAP standards, energy management standards (including building /goods certifications)."
ST.13.3,Practices of the relevant stakeholder improved (equal opportunity practices of the client) ,"Practices of the client or relevant stakeholder improved as targeted is defined as those practices that have been raised to a better quality or standard defined by measurable performance indicators agreed upon at project signing. The type of practices will be specified from the following list: inclusive procurement practices of companies in the client's supply chain, inclusive procurement practices of the client's holding company, equal opportunity practices of the client, equal opportunity practices of companies in the client's supply chain, equal opportunity practices of the client's holding company, environmental, EMS/disclosure, agriculture-specific practices (SEED toolkit/Smart retail concept/supply chain mapping), permitting/licensing procedures, social protection measures, system reliability, NPL domain, deposit insurance, operational, anti-corruption action plan, MSME non-financial management, others, innovative green business model, climate change adaptation practices."
ST.115.3,Share of equity fund's investment allocated to a other,The share of total equity fund investment as per the targeted segment (SME or Region).
O.14.3,Project implementation support completed: Corporate Development Plan approved,"Project implementation support is the provision of expertise to support the implementation and/or the monitoring of an engagement. Project implementation support is considered to be completed when the defined product or activity has been delivered to the client in the agreed timeframe and to the required specifications. This can include the final drafting or approval of a report with recommendations or plan and support for implementation of the recommendations/plan. It can also include support to ensure compliance with EBRD requirements, standards and covenants. The nature of the support to be implemented should be specified at project design/approval."
O.5.3,Policy advice delivered: institutional or regulatory framework submitted,"Policy advice delivered to the client by EBRD or consultant(s) through a policy related report on time and as defined in the project. This may include: policy recommendations that contribute to a policy or strategy submitted and/or a legal/institutional or regulatory framework submitted. The type of policy advice delivered and to which party (government, client, etc.) should be specified during project implementation."
ST.2.3,State ownership reduced: partial privatization,"This indicates that the asset share owned by the state in a given sector was reduced during the reporting period. The nature of the target mechanism should be specified in the project design/approval. The type of state ownership reduced will be specified from the following menu: full private ownership, state ownership reduction to target levels, partial privatization."
ST.31.3,New financing instrument or method introduced: bond,"The evidence of new financing instrument or method introduced specify. The type of instrument or method introduced will be specified from the following menu: asset class (e.g. derivatives, ETFs), non-recourse, bond, swap, syndication, agriculture-financing, green bonds, infra financing instruments (bond, PPP, ESCO, concession), non-recourse lending, streaming, mezzanine, listed investment entities, YieldCos, risk sharing, others."
LT.16.3,Operational performance of the client: working capital cycle/cash conversion cycle,"The specified operational performance or efficiency metrics of the client. Examples of such measures (depending on sector/project circumstances) could include: efficiency (cost/employees), cost savings, working capital cycle, cost per unit, input use, losses reduced, waste reduced, fare box ratio, availability rate, revenue collection rate, response time, waste recovery rate. The metric of operational performance or efficiency will be specified from the following menu: productivity, efficiency, working capital cycle/cash conversion cycle, cost savings, waste reduction, export share, other."
ST.18.3,Number of investee firms invested by the fund: other,"Number of investee firms that the equity fund invested in target segment. The type of target segment will be specified from the following menu: region, SME, other; type of investees (innovative, corporate etc.)."
LT.97.3,Equity fund financial performance: Net TVPI,"Equity fund financial performance (Metric of equity) is defined as the financial performance of equity fund over reporting period. It is a subjective metric of how well the fund has performed in a reporting period. The type of measure will be specified from the following menu: Gross multiple, Net Total Value To Paid-in Ratio (net TVPI), gross IRR, net IRR)."
ST.75.3,Expanded access of water services,"Expanded access of services and products specify. Client expands access to or improves quality of services and products. The type of services and products specified from the following menu: infrastructure, ICT, water services, electricity services, within regions, across regions, natural resources product or services. The number of recipients should be disaggregated by sex."
LT.21.3,Total gross insurance premium for SMEs,Volume (millions) expressed in EUR equivalent of total gross insurance premium for target segment at the end of the reporting period. The type of target segment will be specified from the following menu: life and non-life.
ST.121.3,Average size of loans disbursed by partner financial institution to clients in SMEs,"Average size of sub-loans disbursed to clients during a reporting period. The type of target segment will be specified from the following menu: mortgage, leasing, SMEs, energy efficiency investments, renewable energy investments, efficiency investments, climate adaptation investments, women-led businesses, women-led (M)SMEs, target regions, agriculture sector , TFP (Trade Finance Programme), energy efficiency investments, renewable energy investments, resource efficiency investments, climate adaptation investments, information and communication technologies, manufacturing and services, property and tourism, natural resources, power and energy, local currency, DCTFA compliance"
ST.79.3,Improved quality of water services,"Improved quality of services and products specify . Client expands access to or improves quality of services and products. The type of services and products specified from the following menu: infrastructure, ICT, water services, electricity services, within regions, across regions, natural resources product or services. The number of recipients should be disaggregated by sex."
LT.19.3,Number of outstanding loans of partner financial institution for SMEs,"Number of outstanding loans of partner financial institution in the target segment remaining on partner financial institutions’ balance sheet at the end of the reporting period. The type of target segment will be specified from the following menu: Mortgage, Non-bank refers to insurance, leasing, SMEs, Green Economy, Women-led businesses, Regions, Agriculture sector, and other target segments to be defined."
ST.10.3,Number of loans disbursed by partner financial institution disbursed for SMEs,"Number of loans disbursed by partner financial institution in the targeted segment during the reporting period by a partner financial institution. The type of target segment will be specified from the following menu: Mortgage, Non-bank refers to insurance, leasing, SMEs, Green Economy , Women-led businesses, Regions, Agriculture sector, and other target segments to be defined."
LT.5.3,Gross Profit Margin,"Profitability Ratio specify in reporting period. A financial metric used to assess EBRD client's ability to generate earnings compared to its expenses and other costs incurred over reporting periodspecify. The type of profitability ratio will be specified from the following menu: EBITDA Margin, Operating Profit Margin (EBIT), Gross Profit Margin or Net Profit Margin."
ST.23.3,Number of new/improved wastewater service(s) connections,"Number of new/improved service connections facilitated by the client. The type of service connections will be specified from the following menu: ICT service(s), water service(s), wastewater service(s), electricity/energy service(s), transport (incl. multimodal) service(s)"
LT.22.3,Financial performance of partner financial institution: Regulatory Liquidity Ratio(s),"Financial of a partner financial institution metrics performance in a reporting period. The financial metric menu includes: NPL (or other asset quality) ratio, Regulatory Capital Adequacy Ratio, Regulatory Liquidity Ratio(s), Coverage ratio(s) (e.g. loan loss reserves/NPLs), other appropriate financial performance ratios, RoAA/RoAE, Cost-to-Income Ratio, Non-Performing Loans, Capital Adequacy Ratio."
ST.78.3,Number of new distributors attracted,"Number of new business partners attracted in target areas and engaging in business transaction(s) with the client as agreed upon project signing. The type of business partner will be specified from the following menu: international tenants, customers, distributors, customers & distributors."
